# time rate rate_error
0.000000 -0.000069 0.075741
0.027778 0.070764 0.040461
0.055556 -0.006548 0.040971
0.083333 0.077204 0.045079
0.111111 0.032180 0.026943
0.138889 -0.003640 0.032207
0.166667 0.028933 0.030709
0.194444 0.035366 0.036579
0.222222 0.045027 0.033140
0.250000 0.054681 0.032660
0.277778 0.080504 0.037427
0.305556 0.086856 0.037107
0.333333 0.041792 0.030004
0.361111 0.028951 0.027130
0.388889 0.023144 0.024090
0.416667 0.083766 0.034402
0.444444 0.041826 0.030029
0.472222 0.038605 0.030202
0.500000 0.064362 0.035269
0.527778 0.125512 0.045639
0.555556 0.209194 0.055285
0.583333 0.383116 0.073493
0.611111 0.422123 0.078213
0.638889 0.701744 0.098806
0.666667 0.676005 0.094952
0.694444 0.624627 0.092542
0.722222 0.453684 0.081347
0.750000 0.318770 0.066071
0.777778 0.354056 0.071257
0.805556 0.415430 0.074211
0.833333 0.264563 0.064478
0.861111 0.168073 0.056899
0.888889 0.073990 0.045199
0.916667 0.093345 0.036846
0.944444 0.096537 0.039421
0.972222 0.077012 0.038038
1.000000 0.079631 0.045628
1.027778 0.019296 0.023659
1.055556 0.135223 0.049689
1.083333 0.064375 0.035276
1.111111 0.019286 0.031242
1.138889 0.045007 0.036126
1.166667 0.077250 0.037552
1.194444 0.048280 0.029687
1.222222 -0.006449 0.004560
1.250000 0.006420 0.019853
1.277778 0.109458 0.038902
1.305556 0.035383 0.026733
1.333333 0.148078 0.044839
1.361111 0.032217 0.022786
1.388889 0.048241 0.032978
1.416667 0.099781 0.039298
1.444444 0.057981 0.029173
1.472222 0.045051 0.029857
1.500000 0.035382 0.026733
1.527778 -0.006445 0.004557
1.555556 0.012863 0.019316
1.583333 0.038620 0.022297
1.611111 -0.003223 0.003223
1.638889 0.045101 0.026176
1.666667 0.025754 0.023228
1.694444 0.083654 0.034356
1.722222 0.054721 0.029332
1.750000 0.016054 0.027874
1.777778 0.109520 0.041511
1.805556 0.048273 0.029682
1.833333 0.019298 0.023662
1.861111 0.025741 0.018202
1.888889 0.041823 0.026341
1.916667 0.035400 0.026747
1.944444 0.077264 0.031543
1.972222 0.054683 0.029311
2.000000 0.061128 0.028957
2.027778 0.090128 0.034065
2.055556 0.074039 0.031706
2.083333 0.035382 0.026733
2.111111 0.083670 0.034363
2.138889 0.025743 0.023218
2.166667 0.112648 0.038757
2.194444 0.061161 0.032361
2.222222 0.080461 0.034519
2.250000 0.045039 0.029849
2.277778 0.035386 0.022521
2.305556 0.003208 0.014027
2.333333 0.035386 0.026736
2.361111 0.022509 0.027513
2.388889 0.093365 0.039573
2.416667 0.119090 0.041097
2.444444 0.074047 0.034833
2.472222 0.048268 0.025946
2.500000 0.038616 0.030211
2.527778 0.048262 0.032992
2.555556 0.032163 0.026928
2.583333 0.025757 0.018213
2.611111 0.025743 0.023218
2.638889 0.003209 0.014033
2.666667 0.054734 0.029339
2.694444 0.035410 0.022536
2.722222 0.022516 0.023436
2.750000 0.003209 0.014034
2.777778 0.061180 0.028982
2.805556 0.070812 0.031868
2.833333 -0.003223 0.003223
2.861111 0.057927 0.029146
2.888889 0.054723 0.029333
2.916667 0.028958 0.022987
2.944444 0.077269 0.031545
2.972222 0.148008 0.047077
3.000000 0.148078 0.047099
3.027778 0.283129 0.062058
3.055556 0.257565 0.059370
3.083333 0.427978 0.075262
3.111111 0.650308 0.092077
3.138889 0.656679 0.093076
3.166667 0.469904 0.078443
3.194444 0.524391 0.082462
3.222222 0.447288 0.076218
3.250000 0.283238 0.062082
3.277778 0.328346 0.065816
3.305556 0.196370 0.051811
3.333333 0.099832 0.036578
3.361111 0.141555 0.045045
3.388889 0.019290 0.023652
3.416667 0.112702 0.038776
3.444444 0.073970 0.034797
3.472222 0.048260 0.025941
3.500000 0.045086 0.026167
3.527778 0.067599 0.032034
3.555556 0.016093 0.019055
3.583333 0.019303 0.018767
3.611111 0.045071 0.026159
3.638889 0.045067 0.026157
3.666667 0.035391 0.022524
3.694444 0.048285 0.025955
3.722222 0.006431 0.013658
3.750000 0.025729 0.023205
3.777778 0.028961 0.022990
3.805556 0.045068 0.026157
3.833333 0.057951 0.032528
3.861111 0.003211 0.014041
3.888889 0.025729 0.023206
3.916667 0.009653 0.013272
3.944444 0.045079 0.026163
3.972222 0.048257 0.029672
4.000000 0.035405 0.022533
4.027778 0.057901 0.029133
4.055556 0.025748 0.018207
4.083333 0.016083 0.019043
