# time rate rate_error
0.000000 0.113269 0.065396
0.027778 0.036677 0.023273
0.055556 0.050342 0.030632
0.083333 0.003927 0.020673
0.111111 0.020125 0.019362
0.138889 0.040263 0.027391
0.166667 0.023359 0.019085
0.194444 -0.009029 0.021658
0.222222 0.046695 0.026976
0.250000 0.073332 0.032903
0.277778 0.070090 0.033061
0.305556 0.023364 0.019089
0.333333 0.096707 0.038044
0.361111 0.033442 0.023501
0.388889 0.036677 0.023273
0.416667 0.033425 0.023490
0.444444 0.013306 0.013306
0.472222 0.036665 0.023266
0.500000 0.030186 0.023712
0.527778 0.010061 0.013689
0.555556 0.020128 0.019365
0.583333 0.006822 0.014067
0.611111 0.046722 0.026992
0.638889 0.049977 0.026805
0.666667 0.023363 0.019088
0.694444 0.020127 0.019364
0.722222 0.040237 0.027373
0.750000 0.010060 0.013688
0.777778 0.173057 0.047997
0.805556 0.179667 0.049959
0.833333 0.192978 0.051702
0.861111 0.356019 0.069215
0.888889 0.565393 0.087330
0.916667 0.585223 0.088226
0.944444 0.631886 0.092254
0.972222 0.681840 0.096066
1.000000 0.528816 0.084188
1.027778 0.429485 0.076662
1.055556 0.286489 0.064282
1.083333 0.425937 0.076676
1.111111 0.236308 0.056555
1.138889 0.169721 0.048080
1.166667 0.120476 0.045086
1.194444 0.073305 0.032891
1.222222 0.179749 0.049982
1.250000 0.203108 0.053502
1.277778 0.033425 0.023489
1.305556 0.053568 0.030451
1.333333 0.086634 0.035491
1.361111 0.110011 0.040303
1.388889 0.086645 0.035495
1.416667 0.036668 0.023267
1.444444 0.063277 0.029923
1.472222 0.023707 0.024151
1.500000 0.063607 0.033375
1.527778 0.020808 0.028504
1.555556 0.007510 0.025217
1.583333 0.049959 0.026796
1.611111 0.043488 0.027189
1.638889 0.040264 0.027392
1.666667 0.060030 0.030095
1.694444 0.043837 0.030958
1.722222 0.086619 0.035485
1.750000 0.013646 0.019897
1.777778 0.043837 0.030958
1.805556 0.023713 0.024158
1.833333 0.050353 0.030639
1.861111 0.076586 0.032749
1.888889 -0.009721 0.005612
1.916667 0.070098 0.033065
